ticker,company_name,exchange,country,priority
AAPL,Apple Inc. - Common Stock,NASDAQ,US,1
MSFT,Microsoft Corporation - Common Stock,NASDAQ,US,2
GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,US,3
GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,US,4
AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,US,5
NVDA,NVIDIA Corporation - Common Stock,NASDAQ,US,6
META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,US,7
TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,US,8
UNH,UnitedHealth Group Incorporated Common Stock (DE),N,US,10
JNJ,Johnson & Johnson Common Stock,N,US,11
V,Visa Inc.,N,US,12
XOM,Exxon Mobil Corporation Common Stock,N,US,13
JPM,JP Morgan Chase & Co. Common Stock,N,US,14
WMT,Walmart Inc. - Common Stock,NASDAQ,US,15
MA,Mastercard Incorporated Common Stock,N,US,16
PG,Procter & Gamble Company (The) Common Stock,N,US,17
CVX,Chevron Corporation Common Stock,N,US,18
HD,"Home Depot, Inc. (The) Common Stock",N,US,19
MRK,"Merck & Company, Inc. Common Stock (new)",N,US,20
ABBV,AbbVie Inc. Common Stock,N,US,21
PEP,"PepsiCo, Inc. - Common Stock",NASDAQ,US,22
KO,Coca-Cola Company (The) Common Stock,N,US,23
COST,Costco Wholesale Corporation - Common Stock,NASDAQ,US,24
AVGO,Broadcom Inc. - Common Stock,NASDAQ,US,25
LLY,Eli Lilly and Company Common Stock,N,US,26
TMO,Thermo Fisher Scientific Inc Common Stock,N,US,27
MCD,McDonald's Corporation Common Stock,N,US,28
CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,US,29
ACN,Accenture plc Class A Ordinary Shares (Ireland),N,US,30
ABT,Abbott Laboratories Common Stock,N,US,31
DHR,Danaher Corporation Common Stock,N,US,32
WFC,Wells Fargo & Company Common Stock,N,US,33
VZ,Verizon Communications Inc. Common Stock,N,US,34
ADBE,Adobe Inc. - Common Stock,NASDAQ,US,35
NKE,"Nike, Inc. Common Stock",N,US,36
TXN,Texas Instruments Incorporated - Common Stock,NASDAQ,US,37
PM,Philip Morris International Inc Common Stock,N,US,38
NEE,"NextEra Energy, Inc. Common Stock",N,US,39
CRM,"Salesforce, Inc. Common Stock",N,US,40
BMY,Bristol-Myers Squibb Company Common Stock,N,US,41
RTX,RTX Corporation Common Stock,N,US,42
UPS,"United Parcel Service, Inc. Common Stock",N,US,43
HON,Honeywell International Inc. - Common Stock,NASDAQ,US,44
QCOM,QUALCOMM Incorporated - Common Stock,NASDAQ,US,45
AMGN,Amgen Inc. - Common Stock,NASDAQ,US,46
UNP,Union Pacific Corporation Common Stock,N,US,47
MS,Morgan Stanley Common Stock,N,US,48
LOW,"Lowe's Companies, Inc. Common Stock",N,US,49
INTU,Intuit Inc. - Common Stock,NASDAQ,US,50
SPGI,S&P Global Inc. Common Stock,N,US,51
BA,Boeing Company (The) Common Stock,N,US,52
SBUX,Starbucks Corporation - Common Stock,NASDAQ,US,53
GS,"Goldman Sachs Group, Inc. (The) Common Stock",N,US,54
BLK,"BlackRock, Inc. Common Stock",N,US,55
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,US,56
DE,Deere & Company Common Stock,N,US,57
GILD,"Gilead Sciences, Inc. - Common Stock",NASDAQ,US,58
CAT,"Caterpillar, Inc. Common Stock",N,US,59
MDT,Medtronic plc. Ordinary Shares,N,US,60
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,US,61
ISRG,"Intuitive Surgical, Inc. - Common Stock",NASDAQ,US,62
TJX,"TJX Companies, Inc. (The) Common Stock",N,US,63
AXP,American Express Company Common Stock,N,US,64
CVS,CVS Health Corporation Common Stock,N,US,65
BKNG,Booking Holdings Inc. - Common Stock,NASDAQ,US,66
SYK,Stryker Corporation Common Stock,N,US,67
VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,NASDAQ,US,68
REGN,"Regeneron Pharmaceuticals, Inc. - Common Stock",NASDAQ,US,69
LRCX,Lam Research Corporation - Common Stock,NASDAQ,US,70
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,US,71
PLD,"Prologis, Inc. Common Stock",N,US,72
CI,The Cigna Group Common Stock,N,US,73
CB,Chubb Limited  Common Stock,N,US,75
SO,Southern Company (The) Common Stock,N,US,76
DUK,Duke Energy Corporation (Holding Company) Common Stock,N,US,77
ZTS,Zoetis Inc. Class A Common Stock,N,US,78
MO,"Altria Group, Inc.",N,US,79
PNC,"PNC Financial Services Group, Inc. (The) Common Stock",N,US,80
USB,U.S. Bancorp Common Stock,N,US,81
EQIX,"Equinix, Inc. - Common Stock",NASDAQ,US,82
CL,Colgate-Palmolive Company Common Stock,N,US,83
BDX,"Becton, Dickinson and Company Common Stock",N,US,84
EOG,"EOG Resources, Inc. Common Stock",N,US,85
ITW,Illinois Tool Works Inc. Common Stock,N,US,86
APD,"Air Products and Chemicals, Inc. Common Stock",N,US,87
CSX,CSX Corporation - Common Stock,NASDAQ,US,88
NSC,Norfolk Southern Corporation Common Stock,N,US,89
CME,CME Group Inc. - Class A Common Stock,NASDAQ,US,90
SLB,SLB Limited Common Shares,N,US,91
MCO,Moody's Corporation Common Stock,N,US,92
WM,"Waste Management, Inc. Common Stock",N,US,93
EMR,Emerson Electric Company Common Stock,N,US,94
HCA,"HCA Healthcare, Inc. Common Stock",N,US,95
MAR,Marriott International - Class A Common Stock,NASDAQ,US,96
FIS,"Fidelity National Information Services, Inc. Common Stock",N,US,97
ORLY,"O'Reilly Automotive, Inc. - Common Stock",NASDAQ,US,98
GD,General Dynamics Corporation Common Stock,N,US,99
NOC,Northrop Grumman Corporation Common Stock,N,US,100
TGT,Target Corporation Common Stock,N,US,101
AON,Aon plc Class A Ordinary Shares (Ireland),N,US,102
SHW,Sherwin-Williams Company (The) Common Stock,N,US,103
PSA,Public Storage Common Stock,N,US,104
KLAC,KLA Corporation  - Common Stock,NASDAQ,US,105
SNPS,"Synopsys, Inc. - Common Stock",NASDAQ,US,106
CDNS,"Cadence Design Systems, Inc. - Common Stock",NASDAQ,US,107
MCK,McKesson Corporation Common Stock,N,US,108
FCX,"Freeport-McMoRan, Inc. Common Stock",N,US,109
COP,ConocoPhillips Common Stock,N,US,110
GM,General Motors Company Common Stock,N,US,111
F,Ford Motor Company Common Stock,N,US,112
GE,GE Aerospace Common Stock,N,US,113
IBM,International Business Machines Corporation Common Stock,N,US,114
INTC,Intel Corporation - Common Stock,NASDAQ,US,115
PYPL,"PayPal Holdings, Inc. - Common Stock",NASDAQ,US,116
NFLX,"Netflix, Inc. - Common Stock",NASDAQ,US,117
DIS,Walt Disney Company (The) Common Stock,N,US,118
CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ,US,119
T,AT&T Inc.,N,US,120
PFE,"Pfizer, Inc. Common Stock",N,US,121
BAC,Bank of America Corporation Common Stock,N,US,122
C,"Citigroup, Inc. Common Stock",N,US,123
RY.TO,RY,TSX,CA,201
TD.TO,TD,TSX,CA,202
SHOP.TO,SHOP,TSX,CA,203
ENB.TO,ENB,TSX,CA,204
CNR.TO,CNR,TSX,CA,205
SU.TO,SU,TSX,CA,206
A,"Agilent Technologies, Inc. Common Stock",N,US,9000
AA,Alcoa Corporation Common Stock ,N,US,9000
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,US,9000
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,US,9000
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,US,9000
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,US,9000
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,US,9000
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,US,9000
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,US,9000
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,US,9000
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,US,9000
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,US,9000
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,US,9000
AACPR,Apogee Acquisition Corp - Rights,NASDAQ,US,9000
AACPU,Apogee Acquisition Corp - Units,NASDAQ,US,9000
AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,US,9000
AADX,"Applied Aerospace & Defense, Inc. Common Stock",N,US,9000
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,US,9000
AAME,Atlantic American Corporation - Common Stock,NASDAQ,US,9000
AAMI,Acadian Asset Management Inc. Common Stock,N,US,9000
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,US,9000
AAON,"AAON, Inc. - Common Stock",NASDAQ,US,9000
AAP,Advance Auto Parts Inc.,N,US,9000
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,US,9000
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,US,9000
AAT,"American Assets Trust, Inc. Common Stock",N,US,9000
AAUC,Allied Gold Corporation Common Shares,N,US,9000
AB,AllianceBernstein Holding L.P.  Units,N,US,9000
ABAT,American Battery Technology Company - Common Stock,NASDAQ,US,9000
ABCB,Ameris Bancorp Common Stock,N,US,9000
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,US,9000
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,US,9000
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,US,9000
ABG,Asbury Automotive Group Inc Common Stock,N,US,9000
